mem,cp,diff,mem_std,cp_std,diff_std,mem_win,cp_win,experiment,fa_alpha,cofa_alpha,percentage
14.542895317077637,15.452645301818848,-0.9097481369972229,1.721724033355713,2.67431640625,2.6617541313171387,4209.0,5526.0,combined,2.0,0.5,0.43235747303543914
14.606310844421387,13.919309616088867,0.687001645565033,1.7502946853637695,2.7664856910705566,2.8291056156158447,6347.0,3184.0,combined,5.0,0.5,0.6659322211730144
14.60420036315918,13.592339515686035,1.01185941696167,1.7538098096847534,2.711587429046631,2.84075665473938,6594.0,2894.0,combined,10.0,0.5,0.6949831365935919
14.59512996673584,13.419273376464844,1.175857663154602,1.7491084337234497,2.6635286808013916,2.8408145904541016,6705.0,2764.0,combined,100.0,0.5,0.70810011616855
14.943459510803223,18.85157585144043,-3.9081151485443115,1.8697589635849,2.695044994354248,2.8084030151367188,385.0,9601.0,combined,0.0,0.2,0.03855397556579211
14.811366081237793,17.460603713989258,-2.649238348007202,1.8179224729537964,2.562912702560425,2.5650618076324463,1092.0,8850.0,combined,1.0,0.2,0.10983705491852747
14.672264099121094,15.440845489501953,-0.7685819268226624,1.76539146900177,2.599195957183838,2.6192286014556885,4461.0,5257.0,combined,2.0,0.2,0.4590450710022638
14.761031150817871,13.908624649047852,0.8524057865142822,1.7870149612426758,2.7908105850219727,2.860640048980713,6531.0,2959.0,combined,5.0,0.2,0.6881981032665965
14.775153160095215,13.490015983581543,1.2851369380950928,1.793432354927063,2.744044065475464,2.8795289993286133,6829.0,2590.0,combined,10.0,0.2,0.7250238878861875
14.772668838500977,13.240920066833496,1.5317493677139282,1.7910360097885132,2.6635961532592773,2.869419813156128,6982.0,2400.0,combined,100.0,0.2,0.7441910040503091
14.974477767944336,18.80682945251465,-3.832353115081787,1.874498963356018,2.6829967498779297,2.8001697063446045,419.0,9566.0,combined,0.0,0.1,0.04196294441662494
14.841087341308594,17.440122604370117,-2.59903621673584,1.825139045715332,2.550021171569824,2.5553982257843018,1156.0,8786.0,combined,1.0,0.1,0.11627439147052906
14.693609237670898,15.435237884521484,-0.7416267991065979,1.7729253768920898,2.5839717388153076,2.610452890396118,4502.0,5213.0,combined,2.0,0.1,0.4634071024189398
14.783645629882812,13.912755012512207,0.8708910346031189,1.7934207916259766,2.7911376953125,2.864683151245117,6539.0,2950.0,combined,5.0,0.1,0.6891137106122879
14.801297187805176,13.47823715209961,1.3230582475662231,1.7997331619262695,2.7543580532073975,2.8899240493774414,6858.0,2546.0,combined,10.0,0.1,0.7292641429179073
14.800774574279785,13.220067024230957,1.5807076692581177,1.7987792491912842,2.673827886581421,2.8770902156829834,7006.0,2351.0,combined,100.0,0.1,0.7487442556374907
14.996350288391113,18.77443504333496,-3.778083562850952,1.8777331113815308,2.6751089096069336,2.794931650161743,453.0,9532.0,combined,0.0,0.0,0.04536805207811718
14.8621187210083,17.425172805786133,-2.563053846359253,1.8301044702529907,2.541395664215088,2.549060583114624,1205.0,8736.0,combined,1.0,0.0,0.12121516950005029
14.708712577819824,15.430913925170898,-0.722199022769928,1.7781776189804077,2.5734872817993164,2.6044199466705322,4532.0,5182.0,combined,2.0,0.0,0.4665431336215771
14.79898738861084,13.916886329650879,0.8821016550064087,1.7980308532714844,2.7909209728240967,2.867586851119995,6541.0,2939.0,combined,5.0,0.0,0.6899789029535865
14.819128036499023,13.47153091430664,1.3475974798202515,1.8042511940002441,2.7622320652008057,2.898138999938965,6874.0,2518.0,combined,10.0,0.0,0.7318994889267462
14.82079029083252,13.203930854797363,1.616859793663025,1.8050776720046997,2.6816937923431396,2.8902809619903564,7030.0,2314.0,combined,100.0,0.0,0.7523544520547946
