component,layer,position,mem,cp,diff,mem_perc,cp_perc,diff_perc,mem_std,cp_std,mem_idx,cp_idx
resid_post,2,1,0.0013719794806092978,5.497188612935133e-05,0.0013170074671506882,-55.86693572998047,-67.92874908447266,-55.163082122802734,0.0044801500625908375,0.000178441870957613,4254.5966796875,13193.0
resid_post,2,2,5.900568430661224e-05,2.2807589630247094e-05,3.619809285737574e-05,-98.10194396972656,-86.69377899169922,-98.76765441894531,0.00011520683619892225,2.9847953555872664e-05,7383.43896484375,14066.75390625
resid_post,2,3,7.111450395314023e-05,3.186069443472661e-05,3.925380951841362e-05,-97.7124252319336,-81.41209411621094,-98.66361236572266,0.0001347312208963558,2.9015689506195486e-05,6665.8623046875,15121.5146484375
resid_post,2,4,3.963394192396663e-05,3.1163435778580606e-05,8.47050341690192e-06,-98.72508239746094,-81.81887817382812,-99.71162414550781,1.980918023036793e-05,1.3935160495748278e-05,8361.7568359375,12644.92578125
resid_post,2,5,0.04145457223057747,0.0008824932156130672,0.04057207703590393,1233.4874267578125,414.8570861816406,1281.2579345703125,0.03195067122578621,0.0015943495091050863,2074.87939453125,3193.786865234375
resid_post,2,6,9.370008046971634e-05,0.0011739875189960003,-0.0010802875040099025,-96.98590850830078,584.9183349609375,-136.77789306640625,0.00015788317250553519,0.0019677679520100355,4577.7138671875,3.5691490173339844
resid_post,2,7,3.378087421879172e-05,3.3206270018126816e-05,5.746038596043945e-07,-98.91336059570312,-80.62705993652344,-99.98043060302734,9.66448806138942e-06,9.797038728720509e-06,7370.11083984375,7566.12841796875
resid_post,2,8,1.5458091411346686e-06,1.3217033938417444e-06,2.2410598887745437e-07,-99.95027923583984,-99.22889709472656,-99.99236297607422,8.561575668863952e-06,7.03695241099922e-06,190.14427185058594,259.1778259277344
resid_post,2,9,0.00023727910593152046,3.7748803151771426e-05,0.0001995302882278338,-92.36734008789062,-77.97689819335938,-93.20708465576172,0.0007009656401351094,5.121605136082508e-05,3118.0546875,10917.49609375
resid_post,2,10,3.130413460894488e-05,2.0960564143024385e-05,1.0343569556425791e-05,-98.99303436279297,-87.77135467529297,-99.64785766601562,3.357558307470754e-05,1.5992936823749915e-05,8072.6455078125,12774.7109375
resid_post,2,11,4.0681417885934934e-05,2.7910440621781163e-05,1.2770977264153771e-05,-98.69139099121094,-83.71671295166016,-99.56521606445312,3.788995309150778e-05,1.2803025128960144e-05,7845.48193359375,14043.0009765625
resid_post,2,12,2.964502891700249e-05,2.7103791580884717e-05,2.5412359718757216e-06,-99.04640197753906,-84.18732452392578,-99.91348266601562,1.5099796655704267e-05,1.2273306310817134e-05,9827.5263671875,11930.96484375
resid_post,2,13,4.180454561719671e-05,3.903979086317122e-05,2.7647513434203574e-06,-98.65525817871094,-77.22371673583984,-99.90586853027344,1.8287884813616984e-05,1.6300951756420545e-05,4505.791015625,5509.69384765625
resid_post,3,0,1.664500632614363e-05,1.532469286757987e-05,1.3203128901295713e-06,-99.45999908447266,-90.82869720458984,-99.95470428466797,1.1254021046624985e-05,1.113700091082137e-05,21039.033203125,22946.595703125
resid_post,3,1,0.000998297124169767,6.257291533984244e-05,0.0009357242961414158,-67.61307525634766,-62.55227279663086,-67.90314483642578,0.0022142091765999794,0.0001989236770896241,4047.434326171875,12493.693359375
resid_post,3,2,6.939455488463864e-05,2.373680217715446e-05,4.565775452647358e-05,-97.74869537353516,-85.79434204101562,-98.43386840820312,0.00016043841606006026,3.542343984008767e-05,6699.42333984375,13589.4375
resid_post,3,3,8.295315637951717e-05,3.53036739397794e-05,4.764948243973777e-05,-97.30882263183594,-78.8719711303711,-98.36554718017578,0.00015642461949028075,3.9578808355145156e-05,5836.55712890625,13972.5078125
resid_post,3,4,4.350226299720816e-05,3.395669045858085e-05,9.545573448122013e-06,-98.58869171142578,-79.67809295654297,-99.67256927490234,2.4797362129902467e-05,1.7523190763313323e-05,7449.92626953125,11323.2705078125
resid_post,3,5,0.04145457223057747,0.0008824932156130672,0.04057207703590393,1244.876220703125,428.14166259765625,1291.6878662109375,0.03195067122578621,0.0015943495091050863,2074.87939453125,3193.786865234375
resid_post,3,6,0.00010541523806750774,0.0010866589145734906,-0.0009812437929213047,-96.58009338378906,550.3278198242188,-133.6582489013672,0.00023506877187173814,0.0012487797066569328,4460.2666015625,7.963669300079346
resid_post,3,7,3.636914334492758e-05,3.618340633693151e-05,1.857352174283733e-07,-98.82010650634766,-78.34547424316406,-99.99362182617188,1.1590366739255842e-05,1.1599488971114624e-05,6900.26806640625,6774.1708984375
resid_post,3,8,1.7782122085918672e-06,1.4564941466232995e-06,3.2171794828173006e-07,-99.94231414794922,-99.12833404541016,-99.98896026611328,9.80925415206002e-06,7.84611711424077e-06,196.64627075195312,256.9219970703125
resid_post,3,9,0.00018703629029914737,3.7168836570344865e-05,0.0001498674537288025,-93.93212890625,-77.7557373046875,-94.85929870605469,0.0004187755985185504,5.6234406656585634e-05,2985.97021484375,11552.900390625
resid_post,3,10,3.301971810287796e-05,2.074124859063886e-05,1.2278469512239099e-05,-98.92876434326172,-87.58707427978516,-99.57882690429688,4.035384699818678e-05,1.6966279872576706e-05,8463.1474609375,13166.30078125
resid_post,3,11,4.335954872658476e-05,2.8795884645660408e-05,1.456366680940846e-05,-98.59332275390625,-82.76666259765625,-99.50045013427734,4.389843888930045e-05,1.4712991287524346e-05,7999.51416015625,13916.8779296875
resid_post,3,12,3.19212740578223e-05,2.879901512642391e-05,3.1222623420035234e-06,-98.96440124511719,-82.76478576660156,-99.89289855957031,1.6271556887659244e-05,1.3756118278251961e-05,8434.44921875,10605.6142578125
resid_post,3,13,4.944887768942863e-05,4.612449265550822e-05,3.324387989778188e-06,-98.3957748413086,-72.39608764648438,-99.88597106933594,2.336271973035764e-05,2.1989828383084387e-05,3192.21240234375,3955.479248046875
