label,cp_mean - mem_mean,mem_mean,cp_mean,diff_mean,mem_std,cp_std,diff_std
L1H4,-0.002527141,-0.007171780336648226,-0.00969892181456089,0.002527142409235239,0.042432233691215515,0.0459790974855423,0.053303878754377365
L1H5,-5.84777E-06,-0.015398280695080757,-0.015404128469526768,5.848481578141218e-06,0.055655576288700104,0.05933620408177376,0.07398901134729385
L1H6,-0.000966195,-4.304524918552488e-05,-0.0010092405136674643,0.0009661952499300241,0.04325022175908089,0.046318478882312775,0.05442038178443909
L1H7,-0.017870106,0.1361759901046753,0.11830588430166245,0.017870105803012848,0.07372818887233734,0.0725393295288086,0.07847091555595398
L1H8,0.009731971,-0.025695675984025,-0.015963705256581306,-0.009731970727443695,0.032479386776685715,0.03197842091321945,0.04321862384676933
L1H9,0.002095128,0.006647506728768349,0.008742635138332844,-0.0020951281767338514,0.02397105097770691,0.021668264642357826,0.031222037971019745
L1H10,0.003732304,0.00010388445662101731,0.003836188931018114,-0.0037323040887713432,0.0650656595826149,0.06653553247451782,0.0722472220659256
L1H11,0.010259686,-0.01019168272614479,6.800375558668748e-05,-0.010259686969220638,0.045333098620176315,0.04710200056433678,0.057078778743743896
L2H0,-0.003291439,0.042260292917490005,0.038968853652477264,0.0032914355397224426,0.05205681920051575,0.05456208065152168,0.05963975563645363
L2H1,-0.014703676,0.10616856813430786,0.09146489202976227,0.014703677967190742,0.0548030361533165,0.05025787279009819,0.05338714271783829
L2H2,-0.002984578,0.02236977219581604,0.019385194405913353,0.0029845780227333307,0.03451564162969589,0.03804057836532593,0.042420778423547745
L2H3,0.003151884,0.016564542427659035,0.019716426730155945,-0.0031518861651420593,0.04799964278936386,0.0510232076048851,0.055944833904504776
L2H4,0.000964042,0.00572222750633955,0.006686269771307707,-0.0009640424395911396,0.043859560042619705,0.04836088418960571,0.04767691344022751
L2H5,-0.005104688,0.007342454511672258,0.0022377660498023033,0.005104687996208668,0.0432257317006588,0.04177755489945412,0.05514949560165405
L2H6,0.004167059,0.01670585572719574,0.020872915163636208,-0.004167056642472744,0.03370511904358864,0.03403739258646965,0.037696946412324905
