label,position,mem_mean,cp_mean,diff_mean,mem_std,cp_std,diff_std
L4H6,10,1.619653994566761e-05,1.6068288459791802e-05,-1.2825125850213226e-07,8.37261995911831e-06,8.309962140629068e-06,8.512319027431658e-07
L4H6,11,2.04293701244751e-05,2.028162452916149e-05,-1.4774671797113115e-07,8.823492407827871e-07,9.180221809401701e-07,1.0301783959221211e-06
L4H6,12,1.9912853531423025e-05,1.9724982848856598e-05,-1.8787015676480223e-07,3.913911314157303e-06,3.88049829780357e-06,1.2289774531382136e-06
L4H6,13,2.0393406884977594e-05,2.0233863324392587e-05,-1.5954445586885413e-07,1.0197447863902198e-06,1.0128062513103941e-06,1.156239704869222e-06
L4H7,0,1.9479593902360648e-05,1.950921068782918e-05,2.9616755270467365e-08,1.2972950571565889e-06,1.354011828880175e-06,1.6607110637778533e-06
L4H7,1,1.9300216081319377e-05,1.9395214621908963e-05,9.49974179320634e-08,1.575040528223326e-06,1.6228658523687045e-06,1.7920762047651806e-06
L4H7,2,1.5240208995237481e-05,1.5202233953459654e-05,-3.797618575163142e-08,8.044154128583614e-06,8.0238323789672e-06,1.9338874608365586e-06
L4H7,3,1.9263992726337165e-05,1.9242435882915743e-05,-2.1556465057415153e-08,1.8305952380615054e-06,1.7538239944769884e-06,2.0777370082214475e-06
L4H7,4,1.9079860066995025e-05,1.9164108380209655e-05,8.424973430010141e-08,1.6144449546118267e-06,1.625229401724937e-06,1.7056077012966853e-06
L4H7,5,2.713747562665958e-05,2.1889161871513352e-05,-5.248312845651526e-06,8.553888619644567e-06,9.37123445510224e-07,8.554461601306684e-06
L4H7,6,1.9281458662590012e-05,1.9219474779674783e-05,-6.198368396326259e-08,2.0390525605762377e-06,2.1211610601312714e-06,2.296703087267815e-06
L4H7,7,1.916949804581236e-05,1.9211687686038204e-05,4.218826177293522e-08,1.4966440176067408e-06,1.540699713586946e-06,1.7138135035565938e-06
L4H7,8,6.895738238199556e-07,6.962093266338343e-07,6.635485050310308e-09,3.5234693314123433e-06,3.557824129529763e-06,1.890548020355709e-07
L4H7,9,1.9738561604754068e-05,1.984843038371764e-05,1.0986812526425638e-07,1.4501104033115553e-06,1.4847230431769276e-06,1.6660064829920884e-06
L4H7,10,1.560889904794749e-05,1.5621255442965776e-05,1.2355066303371132e-08,8.153825547196902e-06,8.166297448042314e-06,1.4937155583538697e-06
L4H7,11,1.967356729437597e-05,1.9701174096553586e-05,2.7607327979239926e-08,1.5474083738808986e-06,1.5105144939298043e-06,1.71021804362681e-06
L4H7,12,1.8855174857890233e-05,1.8914137399406172e-05,5.8963973259551494e-08,3.886908416461665e-06,3.888083028869005e-06,1.697507968856371e-06
L4H7,13,1.947794771695044e-05,1.951196463778615e-05,3.4016764516309195e-08,1.5013108622952132e-06,1.5689869314883254e-06,1.7068919078155886e-06
L4H8,0,1.9490857084747404e-05,1.9473302018013783e-05,-1.7555979781036513e-08,5.752352763011004e-07,5.898438075746526e-07,6.074860721128061e-07
L4H8,1,1.9574541511246935e-05,1.9517196051310748e-05,-5.734620600605922e-08,6.883134915369737e-07,6.829731091784197e-07,7.787248250679113e-07
L4H8,2,1.5583482309011742e-05,1.550236629555002e-05,-8.111759797202467e-08,8.059480933297891e-06,8.019093911570963e-06,8.472698596051487e-07
L4H8,3,1.9805562260444276e-05,1.970870107470546e-05,-9.68587983152247e-08,7.072833909660403e-07,6.91811976594181e-07,7.665574912607553e-07
L4H8,4,1.9671344489324838e-05,1.956762389454525e-05,-1.0372124137347782e-07,9.157694762507163e-07,9.496138204667659e-07,7.769978651595011e-07
L4H8,5,2.713747562665958e-05,2.1889161871513352e-05,-5.248312845651526e-06,8.553888619644567e-06,9.37123445510224e-07,8.554461601306684e-06
L4H8,6,1.9941415303037502e-05,1.98426641873084e-05,-9.874911910401352e-08,7.357915592365316e-07,7.817815230737324e-07,8.585529940319248e-07
L4H8,7,1.979123589990195e-05,1.98318393813679e-05,4.060232328129132e-08,8.365460075765441e-07,8.682607699483924e-07,9.176948765343695e-07
L4H8,8,7.505031476284785e-07,7.429296715599776e-07,-7.573464522181439e-09,3.833393293461995e-06,3.7953491300868336e-06,1.2928410342283314e-07
L4H8,9,1.9775425244006328e-05,1.9860593965859152e-05,8.516666127889039e-08,8.558135959901847e-07,9.207639664055023e-07,1.0181033758271951e-06
L4H8,10,1.5656230971217155e-05,1.564615740790032e-05,-1.0072441547492872e-08,8.089667971944436e-06,8.086863090284169e-06,7.251665010699071e-07
L4H8,11,1.9818617147393525e-05,1.980815977731254e-05,-1.0458007793090474e-08,6.537084118463099e-07,6.866569606245321e-07,7.174849656621518e-07
L4H8,12,1.8987764633493498e-05,1.8998945961357094e-05,1.1182228476513956e-08,3.7066110962769017e-06,3.719460664797225e-06,9.498897384219163e-07
L4H8,13,1.9689661712618545e-05,1.9680426703416742e-05,-9.236345022145542e-09,7.828040224922006e-07,8.018508310669858e-07,7.542582807218423e-07
L4H9,0,1.9721435819519684e-05,1.9753550077439286e-05,3.2116599157916426e-08,3.3935336318791087e-07,3.4030625783998403e-07,4.551179131340177e-07
L4H9,1,2.0230747395544313e-05,2.015632162510883e-05,-7.44269215147142e-08,6.302081487774558e-07,6.294829404396296e-07,8.151998258654203e-07
L4H9,2,1.594608875166159e-05,1.5786221410962753e-05,-1.5986465484729706e-07,8.271784281532746e-06,8.155843715940136e-06,1.0273364523527562e-06
L4H9,3,2.0311081243562512e-05,2.0107831005589105e-05,-2.032507779858861e-07,1.1340374612700543e-06,6.15473652487708e-07,1.138561628977186e-06
